surface,rooms,baths,ville,quartier,log_surface,surface_per_room,bath_room_ratio,surface_x_rooms
143,3,2,8,21,4.969813299576001,35.75,0.5,429
115,3,1,18,89,4.7535901911063645,28.75,0.25,345
144,2,2,8,21,4.976733742420574,48.0,0.6666666666666666,288
171,3,2,22,78,5.147494476813453,42.75,0.5,513
79,3,2,8,6,4.382026634673881,19.75,0.5,237
76,2,1,28,81,4.343805421853684,25.333333333333332,0.3333333333333333,152
82,2,1,28,51,4.418840607796598,27.333333333333332,0.3333333333333333,164
84,3,2,7,83,4.442651256490317,21.0,0.5,252
260,3,2,8,20,5.564520407322694,65.0,0.5,780
68,2,1,13,19,4.23410650459726,22.666666666666668,0.3333333333333333,136
104,3,1,0,24,4.653960350157523,26.0,0.25,312
132,3,2,9,83,4.890349128221754,33.0,0.5,396
162,3,3,8,49,5.093750200806762,40.5,0.75,486
140,3,2,8,62,4.948759890378168,35.0,0.5,420
60,2,1,8,40,4.110873864173311,20.0,0.3333333333333333,120
55,2,1,0,28,4.02535169073515,18.333333333333332,0.3333333333333333,110
79,2,1,28,26,4.382026634673881,26.333333333333332,0.3333333333333333,158
96,2,2,10,11,4.574710978503383,32.0,0.6666666666666666,192
56,1,1,16,32,4.04305126783455,28.0,0.5,56
62,1,1,8,49,4.143134726391533,31.0,0.5,62
76,3,2,25,83,4.343805421853684,19.0,0.5,228
53,1,1,16,32,3.9889840465642745,26.5,0.5,53
70,2,1,13,19,4.2626798770413155,23.333333333333332,0.3333333333333333,140
174,3,2,8,56,5.1647859739235145,43.5,0.5,522
110,2,1,28,23,4.709530201312334,36.666666666666664,0.3333333333333333,220
60,2,2,14,83,4.110873864173311,20.0,0.6666666666666666,120
64,3,2,18,11,4.174387269895637,16.0,0.5,192
110,3,2,13,57,4.709530201312334,27.5,0.5,330
65,1,1,16,32,4.189654742026425,32.5,0.5,65
51,2,1,8,60,3.9512437185814275,17.0,0.3333333333333333,102
76,2,1,6,11,4.343805421853684,25.333333333333332,0.3333333333333333,152
90,2,2,18,27,4.51085950651685,30.0,0.6666666666666666,180
165,2,2,28,11,5.111987788356544,55.0,0.6666666666666666,330
87,2,2,29,88,4.477336814478207,29.0,0.6666666666666666,174
329,3,3,12,25,5.799092654460526,82.25,0.75,987
109,2,2,3,11,4.700480365792417,36.333333333333336,0.6666666666666666,218
126,3,1,28,44,4.844187086458591,31.5,0.25,378
51,1,1,8,31,3.9512437185814275,25.5,0.5,51
84,2,2,16,67,4.442651256490317,28.0,0.6666666666666666,168
110,3,2,8,74,4.709530201312334,27.5,0.5,330
136,3,3,29,34,4.919980925828125,34.0,0.75,408
1,1,1,16,32,0.6931471805599453,0.5,0.5,1
87,2,1,8,15,4.477336814478207,29.0,0.3333333333333333,174
2,2,1,17,83,1.0986122886681098,0.6666666666666666,0.3333333333333333,4
74,2,2,8,75,4.31748811353631,24.666666666666668,0.6666666666666666,148
90,3,1,13,19,4.51085950651685,22.5,0.25,270
133,3,1,28,53,4.897839799950911,33.25,0.25,399
113,3,1,8,20,4.736198448394496,28.25,0.25,339
110,2,1,20,3,4.709530201312334,36.666666666666664,0.3333333333333333,220
204,2,2,8,52,5.3230099791384085,68.0,0.6666666666666666,408
140,2,1,28,90,4.948759890378168,46.666666666666664,0.3333333333333333,280
66,3,1,13,59,4.204692619390966,16.5,0.25,198
126,3,1,3,11,4.844187086458591,31.5,0.25,378
70,3,1,17,83,4.2626798770413155,17.5,0.25,210
118,3,2,8,58,4.77912349311153,29.5,0.5,354
72,2,2,28,80,4.290459441148391,24.0,0.6666666666666666,144
